Brewery,Beer Name,Description,ABV,Festival Location
Cycle,Friday (2021),"Barrel-Aged Imperial Stout w/ Coconut, Hazelnut & Cinnamon",12.0%,Jabberwock
DC Brau,Bear Claw,"Bourbon Barrel-Aged Imperial Stout w/ Cocoa Nibs, Honey, Brown Sugar, Coffee, Marshmallows & Milk Sugar",10.5%,Mothra
DC Brau,Cherry Wake Up Funk,Bourbon Barrel-Aged Mixed Fermentation Ale w/ Cherries,6.5%,Mothra
De Garde,Hose,Dry-Hopped Wild Ale w/ Coriander & Citrus (Spontaneous),5.0%,Gargoyle
De Garde,Nectarine Ivy,Wild Ale w/ White Nectarines (Spontaneous),6.6%,Gargoyle
De La Senne,Taras Boulba,Belgian Blond Ale,4.5%,Medusa
De La Senne,Zinnebir,Belgian Pale Ale,6.0%,Medusa
De Ranke,Guldenberg,Tripel w/ Hallertau Mittelfrüh Hops,8.0%,Nessie
De Ranke,XX Bitter,Belgian IPA w/ Whole Cone Brewer's Gold & Hallertau Hops,6.0%,Nessie
De Struise,Clash of the Titans Special Reserva 2018,Whisky & Sherry Barrel-Aged English Barleywine,12.6%,Nessie
De Struise,Sint Amatus 2019,Bourbon Barrel-Aged Quadrupel,10.5%,Nessie
Deciduous,Confidential Matters,"Hazy IPA w/ Citra, Mosaic & Simcoe (Bluejacket Collab.)",7.2%,Drogon
Deciduous,Lollipop Forest: Apple Crisp,"Fruited Sour Ale w/ Apple, Granola, Spices & Milk Sugar",6.0%,Drogon
Deciduous,Night Has Come,"Imperial Stout w/ Almonds, Pistachios & Vanilla",10.0%,Drogon
Dewey,"Thrills: Strawberry, Mango, Papaya Muffins","Fruited Sour Ale w/ Strawberry, Mango & Papaya",5.3%,Medusa
Dewey,"Thrills: Tangerine, Mango Marmalade",Fruited Sour Ale w/ Tangerine & Mango,5.3%,Medusa
Downeast,Cider Donut,"Cider w/ Cinnamon, Brown Sugar & Vanilla",5.2%,Mothra
Downeast,Strawberry,Cider w/ Strawberry,5.0%,Mothra
Dream State,Moon Wave,"American IPA w/ Citra, Idaho Gem & El Dorado",8.0%,Demogorgon
Dream State,Moonlite,German PIlsner,5.0%,Demogorgon
Drekker,Brace For The G's,"Hazy IPA w/ YCH 303, Citra & Vic Secret + Phantasm Powder",7.2%,Demogorgon
Drekker,Choco Flavored Kisses 2022: Ecuador,Bourbon Barrel-Aged Imperial Stout w/ Cocoa Nibs,12.5%,Demogorgon
Drekker,CHONK: White Chocolate & Peach,"Fruited Sour Ale w/ White Chocolate, Peach, Vanilla Ice Cream & Milk Sugar",6.4%,Demogorgon
Dutchess,Ketzer,Helles Lager,4.8%,Gargoyle
Dutchess,Telios,"English IPA w/ Centennial, HBC-522 & El Dorado",5.6%,Gargoyle
Dynasty,Cosmic Vision,Hazy Double IPA w/ Comet & Galaxy,8.0%,Poseidon
Dynasty,Tiny Dictator,Bourbon Barrel-Aged Imperial Stout,13.1%,Poseidon
Elder Pine,Cerveza Viejo Especial,Sotol Barrel-Aged Mexican Lager,4.9%,Rodan
Elder Pine,Double Oaked The Sun's Gone Dim & The Sky's Turned Black,Rye Whiskey Barrel-Aged Baltic Porter,10.0%,Rodan
Equilibrium,Alfajores,"Imperial Stout w/ Honey, Almonds, Hazelnuts, Coconut & Vanilla (Aslin Collab.)",11.0%,Gargoyle
Equilibrium,Astral Projection Into Multiple Galaxies,"Hazy Double IPA w/ Galaxy, Strata & Apollo (Widowmaker Collab.)",8.5%,Gargoyle
Equilibrium,King AL,Hazy Double IPA w/ Citra (Toppling Goliath Collab.),7.9%,Gargoyle
Fair Winds,Double Barrel Ghost of the Mariner,Bourbon Barrel-Aged Imperial Stout,10.3%,Mothra
Fair Winds,Nautifest,Märzen,5.5%,Mothra
Fast Fashion,Crop Top,German Pilsner,5.2%,Gargoyle
Fast Fashion,Feedback Loop,Hazy IPA w/ Motueka,6.8%,Gargoyle
Fidens,Lucid Dreams,"Imperial Stout w/ Cocoa Nibs, Coconut & Almond (The Eigth State Collab.)",12.0%,Nessie
Fidens,The Heart of Chaos,"Hazy Triple IPA w/ Citra, Nelson Sauvin & Mosaic",10.0%,Nessie
Fidens,The Poet & The Warrior,"Hazy Double IPA w/ Citra, Galaxy, Mosaic & Rakau (Electric Collab.)",8.5%,Nessie
Final Gravity,Ancient Mariner,Fruited Sour Ale,4.5%,Jabberwock
Final Gravity,The Doppler Effect: Grapefruit,American IPA w/ Grapefruit,7.0%,Jabberwock
Finback,2021 BQE: Double Barrel,Bourbon Barrel-Aged Imperial Stout w/ Coffee & Chocolate,15.0%,Nessie
Finback,8 Year Anniversary: Crimson ,"Barrel-Aged Imperial Stout w/ Cocoa Nibs, Chocolate Cereal & Fruity Cereal",14.1%,Nessie
Finback,Helo,"Hazy Double IPA w/ Citra, Nelson Sauvin, Idaho 7 & Belma",8.5%,Nessie
Firestone Walker,Double Barrel Parabola,Bourbon & Wheat Whiskey Barrel-Aged Imperial Stout,15.5%,Cyclops
Firestone Walker,Primal Elements,"Mixed Fermentation Ale w/ Pineapple, Mango, Tangerine & Nectarine",6.0%,Cyclops
Floodland,2021 CFO2,Mixed Fermentation Ale w/ Pluots & Apriums,6.2%,Jabberwock
Floodland,Collins Family 2021,Mixed Fermentation Ale w/ Plums & Pluots,6.5%,Jabberwock
Floodland,MMXXI Rhône,Mixed Fermentation Ale w/ Grenache & Marsanne Wine Grape Pomace,8.5%,Jabberwock
Floodland,New Paths Through Old Darkness 2021,Mixed Fermentation Ale w/ Raw Honey,5.7%,Jabberwock
Foam,Built to Spill,Hazy Double IPA w/ Citra & Galaxy,8.0%,Gargoyle
Foam,Dead Flowers,Hazy IPA w/ Riwaka & Southern Cross,6.2%,Gargoyle
Fonta Flora,Carolina Gold,Lagered Saison w/ Heritage Carolina Gold Rice,5.2%,Jabberwock
Fonta Flora,Underground,Smoked Mixed Fermentation Kvass w/ Pretzels,2.8%,Jabberwock
Fourscore,Cannibal Skrrt,Rum Barrel-Aged Fruited Sour Ale w/ Strawberry & Lychee (Other Half Collab.),6.0%,Rodan
Fourscore,Double Citra Pillows,Hazy Triple IPA w/ Citra + Milk Sugar,10.5%,Rodan
Fox Farm,Annata 2021,Foeder-Aged Mixed Fermentation Ale w/ Wine Grapes,7.0%,Drogon
Fox Farm,Requiem (No. 1),Cognac & Bourbon Barrel-Aged American Barleywine,15.5%,Drogon
Garden Path,The Curious Mix Methods,Wild Ale w/ Honey (Spontaneous),6.9%,Poseidon
Garden Path,The Local Harvest: Orchard Field Blend,Mixed Fermentation Dry Cider,6.7%,Poseidon
Good Word,Drink Time,Märzen,5.8%,Gargoyle
Good Word,No Mas Tiempo,Mexican Lager,5.8%,Gargoyle
Graft,Book of Nomad: Vial Ends,Cider w/ Strawberry & Banana,6.9%,Cyclops
Graft,Cloud City: Synth City,Cider w/ Pineapple & Peach,6.9%,Cyclops
Great Notion,Juice Invader,Hazy IPA w/ Galaxy & Vic Secret,7.0%,Drogon
Great Notion,Triple Strawberry Marshmallow Shake,"Fruited Sour Ale w/ Strawberry, Vanilla & Marshmallow",10.0%,Drogon
Great Raft,It's Still Real To Me Damn't,Hazy Session IPA,4.5%,Nessie
Great Raft,We All Want the Same Things,Imperial Stout,15.0%,Nessie
Green Bench,Alice,Wine Barrel-Aged Mixed Fermentation Ale,5.5%,Gargoyle
Green Bench,Pohlednice,Czech Pilsner,4.7%,Gargoyle
Green Cheek,Among Many,Hazy IPA,7.2%,Jabberwock
Green Cheek,Playing It Loud,Hazy Double IPA,8.6%,Jabberwock
Grimm,Lambo Door,"Hazy Double IPA w/ Citra, Simcoe & El Dorado",8.0%,Demogorgon
Grimm,The Open Work: Cab Franc,Wild Ale w/ Cabernet Franc Wine Grapes,7.0%,Demogorgon
Halfway Crooks,Sanguine,Belgian Pale Ale,4.8%,Drogon
Halfway Crooks,Whole Cone Fest Märzen,Märzen w/ Whole Cone Hops,5.4%,Drogon
Harviestoun,Ola Dubh: 21 Year Special Reserve,Highland Park Whisky Barrel-Aged Imperial Porter,10.5%,Cyclops
Harviestoun,Schiehallion,Pale Lager,4.8%,Cyclops
Hellbender,Festbier,Festbier,5.5%,Mothra
Hellbender,Southern Torrent,Saison,5.5%,Mothra
Homes,BA Coolship Kriek,Cherry Liqueur Barrel-Aged Wild Ale w/ Stevnsbær Cherries & Champagne Yeast,7.9%,Rodan
Homes,Fifth Orbit,"Bourbon Barrel-Aged Imperial Stout w/ Vanilla, Cocoa Nibs, Pecans & Coconut (Other Half Collab.)",13.0%,Rodan
Homes,Smooj Lab: Prickly Pear Pina Colada,"Hard Seltzer Smoothie w/ Prickly Pear, Pineapple, Coconut & Key Lime",5.0%,Rodan
Homes,Smooj: Apple Pie,"Hard Seltzer Smoothie w/ Apple, Cinnamon, Lemon & Coconut",5.0%,Rodan
Homes,Smooj: Pina Colada,"Hard Seltzer Smoothie w/ Pineapple, Coconut & Key Lime",5.0%,Rodan
Homes,Smooj Lab: Berry Delight,"Hard Seltzer Smoothie w/ Blueberry, Blackberry, Vanilla, Coconut, Lemon & Banana",5.0%,Rodan
Hop Butcher,Mild Giardiniera,"Hazy IPA w/ Citra, El Dorado & Mosaic",6.0%,Nessie
Hop Butcher,Riwakamania,Hazy IPA w/ Riwaka & Mosaic,6.5%,Nessie
Hudson North,Standard,Dry Cider,5.0%,Cyclops
Hudson North,Toasted Pumpkin,Dry Cider w/ Pumpkin & Fall Spices,5.0%,Cyclops
